Gene ID,Representative Transcript ID,Chromosome,TSS,strand
ENSSSCG00000000087,ENSSSCT00000087726,5,8852733,-
ENSSSCG00000000091,ENSSSCT00000061182,5,9101037,-
ENSSSCG00000000092,ENSSSCT00000000098,5,9207642,+
ENSSSCG00000000093,ENSSSCT00000054888,5,9236654,+
ENSSSCG00000000094,ENSSSCT00000043063,5,9273240,+
ENSSSCG00000000095,ENSSSCT00000060163,5,9321899,-
ENSSSCG00000000097,ENSSSCT00000075473,5,9339698,-
ENSSSCG00000000103,ENSSSCT00000000109,5,9431177,+
ENSSSCG00000000104,ENSSSCT00000054754,5,9485702,+
ENSSSCG00000000105,ENSSSCT00000000111,5,9515712,-
ENSSSCG00000000107,ENSSSCT00000000113,5,9594987,+
ENSSSCG00000000108,ENSSSCT00000065929,5,9657493,+
ENSSSCG00000000110,ENSSSCT00000044457,5,9728174,+
ENSSSCG00000000111,ENSSSCT00000000117,5,9778727,+
ENSSSCG00000000113,ENSSSCT00000042449,5,9800397,+
ENSSSCG00000000114,ENSSSCT00000000120,5,9825539,-
ENSSSCG00000000116,ENSSSCT00000000122,5,9917726,-
ENSSSCG00000000117,ENSSSCT00000091165,5,9917781,+
ENSSSCG00000000118,ENSSSCT00000037890,5,9956946,-
ENSSSCG00000000119,ENSSSCT00000077783,5,9996025,-
ENSSSCG00000000120,ENSSSCT00000071715,5,10004172,+
ENSSSCG00000000121,ENSSSCT00000000127,5,10026120,-
ENSSSCG00000000130,ENSSSCT00000000136,5,10521735,-
ENSSSCG00000000133,ENSSSCT00000000139,5,10749760,+
ENSSSCG00000000135,ENSSSCT00000075425,5,10718959,-
ENSSSCG00000000136,ENSSSCT00000000142,5,10840363,-
ENSSSCG00000000137,ENSSSCT00000089031,5,10994014,-
ENSSSCG00000000138,ENSSSCT00000063832,5,10955491,+
ENSSSCG00000000139,ENSSSCT00000086974,5,10994215,+
ENSSSCG00000000141,ENSSSCT00000000147,5,11213312,+
ENSSSCG00000000142,ENSSSCT00000057822,5,11233902,+
ENSSSCG00000000144,ENSSSCT00000051686,5,11264645,+
ENSSSCG00000000145,ENSSSCT00000099733,5,11360660,+
ENSSSCG00000000146,ENSSSCT00000097941,3,7002736,+
ENSSSCG00000000148,ENSSSCT00000050902,5,11523347,-
ENSSSCG00000000151,ENSSSCT00000107932,5,11929178,-
ENSSSCG00000000152,ENSSSCT00000054319,5,11799218,+
ENSSSCG00000000156,ENSSSCT00000000164,5,12526232,-
ENSSSCG00000000157,ENSSSCT00000036153,5,12525806,+
ENSSSCG00000000158,ENSSSCT00000000167,5,12580294,+
ENSSSCG00000000160,ENSSSCT00000047006,5,12638514,+
ENSSSCG00000000161,ENSSSCT00000000170,5,12730849,-
ENSSSCG00000000162,ENSSSCT00000000171,5,13069527,-
ENSSSCG00000000164,ENSSSCT00000064675,5,13275545,+
ENSSSCG00000000167,ENSSSCT00000055709,5,13580164,-
ENSSSCG00000000171,ENSSSCT00000000180,5,14021131,+
ENSSSCG00000000174,ENSSSCT00000043095,5,14811995,+
ENSSSCG00000000175,ENSSSCT00000000184,5,14850728,-
ENSSSCG00000000176,ENSSSCT00000000185,5,14899174,-
ENSSSCG00000000179,ENSSSCT00000000188,5,14950492,+
ENSSSCG00000000182,ENSSSCT00000000191,5,15003473,-
ENSSSCG00000000183,ENSSSCT00000000192,5,15010786,+
ENSSSCG00000000184,ENSSSCT00000000194,5,15029632,-
ENSSSCG00000000185,ENSSSCT00000000195,5,15049634,-
ENSSSCG00000000186,ENSSSCT00000000197,5,15097796,-
ENSSSCG00000000188,ENSSSCT00000000199,5,15119577,-
ENSSSCG00000000189,ENSSSCT00000000200,5,15135252,-
ENSSSCG00000000190,ENSSSCT00000000203,5,15153604,-
ENSSSCG00000000194,ENSSSCT00000000207,5,15153106,+
ENSSSCG00000000195,ENSSSCT00000000208,5,15285294,+
ENSSSCG00000000197,ENSSSCT00000000210,5,15311915,-
ENSSSCG00000000198,ENSSSCT00000000211,5,15322674,+
ENSSSCG00000000199,ENSSSCT00000076259,5,15383954,+
ENSSSCG00000000202,ENSSSCT00000065788,5,15526474,-
ENSSSCG00000000203,ENSSSCT00000024572,5,15495157,+
ENSSSCG00000000204,ENSSSCT00000000217,5,15570474,+
ENSSSCG00000000205,ENSSSCT00000000218,5,15559720,-
ENSSSCG00000000206,ENSSSCT00000088936,5,15812541,-
ENSSSCG00000000209,ENSSSCT00000038291,5,15725097,-
ENSSSCG00000000211,ENSSSCT00000000226,5,15876407,+
ENSSSCG00000000212,ENSSSCT00000089729,5,15887966,+
ENSSSCG00000000214,ENSSSCT00000040822,5,16007448,+
ENSSSCG00000000215,ENSSSCT00000056120,5,15992260,+
ENSSSCG00000000216,ENSSSCT00000000232,5,15965084,+
ENSSSCG00000000217,ENSSSCT00000000233,5,15904712,+
ENSSSCG00000000220,ENSSSCT00000000236,AEMK02000258.1,188924,+
ENSSSCG00000000223,ENSSSCT00000025433,AEMK02000258.1,93259,+
ENSSSCG00000000228,ENSSSCT00000000245,5,16977700,+
ENSSSCG00000000231,ENSSSCT00000000250,5,17248070,+
ENSSSCG00000000232,ENSSSCT00000064488,5,17273185,+
ENSSSCG00000000233,ENSSSCT00000071034,5,17314276,+
ENSSSCG00000000234,ENSSSCT00000000253,5,17355883,+
ENSSSCG00000000235,ENSSSCT00000000254,5,17732009,-
ENSSSCG00000000236,ENSSSCT00000000255,5,17760524,-
ENSSSCG00000000238,ENSSSCT00000000257,5,17747693,-
ENSSSCG00000000239,ENSSSCT00000000258,5,17642700,-
ENSSSCG00000000240,ENSSSCT00000000259,5,17686677,-
ENSSSCG00000000241,ENSSSCT00000000260,5,17707023,-
ENSSSCG00000000247,ENSSSCT00000057314,5,17905181,-
ENSSSCG00000000248,ENSSSCT00000056843,5,17851118,-
ENSSSCG00000000249,ENSSSCT00000000268,5,17948937,-
ENSSSCG00000000250,ENSSSCT00000054083,5,17967090,-
ENSSSCG00000000251,ENSSSCT00000000270,5,18018582,-
ENSSSCG00000000252,ENSSSCT00000042524,5,18180404,-
ENSSSCG00000000253,ENSSSCT00000074447,5,18217691,+
ENSSSCG00000000257,ENSSSCT00000000276,5,18434336,-
ENSSSCG00000000258,ENSSSCT00000061540,5,18458624,-
ENSSSCG00000000259,ENSSSCT00000000278,5,18410646,-
ENSSSCG00000000260,ENSSSCT00000000279,5,18358673,+
ENSSSCG00000000261,ENSSSCT00000000280,5,18352400,+
ENSSSCG00000000262,ENSSSCT00000050035,5,18338648,-
ENSSSCG00000000263,ENSSSCT00000000273,5,18303417,+
ENSSSCG00000000264,ENSSSCT00000039691,5,18476366,+
ENSSSCG00000000265,ENSSSCT00000000284,5,18487052,+
ENSSSCG00000000267,ENSSSCT00000103192,5,18512697,+
ENSSSCG00000000268,ENSSSCT00000000287,5,18537830,-
ENSSSCG00000000271,ENSSSCT00000076306,5,18642823,+
ENSSSCG00000000272,ENSSSCT00000065738,5,18588758,+
ENSSSCG00000000273,ENSSSCT00000106445,5,18661086,+
ENSSSCG00000000274,ENSSSCT00000073313,5,18673981,+
ENSSSCG00000000275,ENSSSCT00000000295,5,18717199,-
ENSSSCG00000000276,ENSSSCT00000052105,5,18718710,+
ENSSSCG00000000277,ENSSSCT00000000298,5,18724826,-
ENSSSCG00000000278,ENSSSCT00000042399,5,18838542,-
ENSSSCG00000000279,ENSSSCT00000000300,5,19151084,+
ENSSSCG00000000281,ENSSSCT00000000302,5,19167157,+
ENSSSCG00000000288,ENSSSCT00000075652,5,19485096,+
ENSSSCG00000000289,ENSSSCT00000047127,5,19501810,-
ENSSSCG00000000290,ENSSSCT00000099135,5,19522613,+
ENSSSCG00000000291,ENSSSCT00000000312,5,19554823,-
ENSSSCG00000000292,ENSSSCT00000075537,5,19577076,-
ENSSSCG00000000293,ENSSSCT00000090750,5,19610362,-
ENSSSCG00000000295,ENSSSCT00000000316,5,19677875,+
ENSSSCG00000000297,ENSSSCT00000000318,5,19737844,+
ENSSSCG00000000298,ENSSSCT00000071043,5,19763224,-
ENSSSCG00000000299,ENSSSCT00000042104,5,20017433,-
ENSSSCG00000000333,ENSSSCT00000000355,5,20637654,+
ENSSSCG00000000359,ENSSSCT00000000381,5,21147767,+
ENSSSCG00000000361,ENSSSCT00000033233,5,21176232,-
ENSSSCG00000000362,ENSSSCT00000000384,5,21166510,+
ENSSSCG00000000363,ENSSSCT00000000386,5,21191251,+
ENSSSCG00000000364,ENSSSCT00000071634,5,21261876,-
ENSSSCG00000000365,ENSSSCT00000000388,5,21262193,+
ENSSSCG00000000366,ENSSSCT00000000389,5,21272646,-
ENSSSCG00000000367,ENSSSCT00000065735,5,21274511,+
ENSSSCG00000000370,ENSSSCT00000040081,5,21331473,+
ENSSSCG00000000371,ENSSSCT00000000394,5,21364987,-
ENSSSCG00000000376,ENSSSCT00000000402,5,21395262,+
ENSSSCG00000000377,ENSSSCT00000000403,5,21496025,+
ENSSSCG00000000379,ENSSSCT00000090528,5,21514510,+
ENSSSCG00000000382,ENSSSCT00000032096,5,21586737,-
ENSSSCG00000000383,ENSSSCT00000047640,5,21624559,-
ENSSSCG00000000384,ENSSSCT00000061313,5,21624762,+
ENSSSCG00000000385,ENSSSCT00000103517,5,21631924,+
ENSSSCG00000000386,ENSSSCT00000044069,5,21657045,-
ENSSSCG00000000393,ENSSSCT00000038548,5,21727903,-
ENSSSCG00000000394,ENSSSCT00000000425,5,21711292,-
ENSSSCG00000000396,ENSSSCT00000000428,5,21751354,-
ENSSSCG00000000398,ENSSSCT00000000430,5,21760815,-
ENSSSCG00000000400,ENSSSCT00000000432,5,21793592,-
ENSSSCG00000000401,ENSSSCT00000000433,5,21820001,-
ENSSSCG00000000402,ENSSSCT00000061336,5,21868121,+
ENSSSCG00000000403,ENSSSCT00000055700,5,21983032,-
ENSSSCG00000000405,ENSSSCT00000033906,5,21992606,-
ENSSSCG00000000406,ENSSSCT00000079358,5,22021660,-
ENSSSCG00000000411,ENSSSCT00000000460,5,22400277,+
ENSSSCG00000000413,ENSSSCT00000000458,5,22363568,-
ENSSSCG00000000415,ENSSSCT00000000449,5,22244528,-
ENSSSCG00000000419,ENSSSCT00000056102,5,22292433,-
ENSSSCG00000000431,ENSSSCT00000000465,5,22791437,+
ENSSSCG00000000433,ENSSSCT00000038833,5,22897508,-
ENSSSCG00000000435,ENSSSCT00000038624,5,22873736,+
ENSSSCG00000000436,ENSSSCT00000075918,5,22854316,+
ENSSSCG00000000437,ENSSSCT00000000472,5,22762049,-
ENSSSCG00000000439,ENSSSCT00000050706,5,22816854,+
ENSSSCG00000000442,ENSSSCT00000000477,5,22732516,+
ENSSSCG00000000443,ENSSSCT00000059480,5,22739900,+
ENSSSCG00000000444,ENSSSCT00000085722,5,22814273,-
ENSSSCG00000000449,ENSSSCT00000029673,5,22867711,+
ENSSSCG00000000453,ENSSSCT00000000489,5,23233895,+
ENSSSCG00000000455,ENSSSCT00000000491,5,24117970,-
ENSSSCG00000000456,ENSSSCT00000000492,5,24713267,+
ENSSSCG00000000457,ENSSSCT00000070709,5,26964553,+
ENSSSCG00000000458,ENSSSCT00000106817,5,27126130,+
ENSSSCG00000000462,ENSSSCT00000000500,5,28247412,+
ENSSSCG00000000464,ENSSSCT00000030713,5,28817810,-
ENSSSCG00000000466,ENSSSCT00000089666,5,28829551,+
ENSSSCG00000000469,ENSSSCT00000037587,5,29596334,+
ENSSSCG00000000473,ENSSSCT00000072532,5,30511533,-
ENSSSCG00000000475,ENSSSCT00000077997,5,30526793,+
ENSSSCG00000000477,ENSSSCT00000052520,5,30645656,+
ENSSSCG00000000478,ENSSSCT00000064279,5,31020901,-
ENSSSCG00000000482,ENSSSCT00000000520,5,32604513,-
ENSSSCG00000000483,ENSSSCT00000000521,5,32673638,-
ENSSSCG00000000486,ENSSSCT00000081999,5,32989794,+
ENSSSCG00000000487,ENSSSCT00000085316,5,33049247,+
ENSSSCG00000000488,ENSSSCT00000065168,5,33105759,+
ENSSSCG00000000492,ENSSSCT00000000530,5,33612567,+
ENSSSCG00000000493,ENSSSCT00000055620,5,33785809,+
ENSSSCG00000000496,ENSSSCT00000084498,5,33858572,+
ENSSSCG00000000499,ENSSSCT00000000538,5,33956637,-
ENSSSCG00000000500,ENSSSCT00000000539,5,34003180,+
ENSSSCG00000000502,ENSSSCT00000046336,5,34426394,+
ENSSSCG00000000504,ENSSSCT00000000543,5,34758909,-
ENSSSCG00000000509,ENSSSCT00000039112,5,35671149,-
ENSSSCG00000000510,ENSSSCT00000044613,5,35692309,+
ENSSSCG00000000512,ENSSSCT00000000551,5,35827473,+
ENSSSCG00000000515,ENSSSCT00000051182,5,36274165,+
ENSSSCG00000000516,ENSSSCT00000000557,5,38533110,-
ENSSSCG00000000517,ENSSSCT00000060215,5,38625070,-
ENSSSCG00000000519,ENSSSCT00000041475,5,38766998,+
ENSSSCG00000000522,ENSSSCT00000000564,5,39363711,-
ENSSSCG00000000523,ENSSSCT00000000565,5,39566323,-
ENSSSCG00000000527,ENSSSCT00000000569,5,40872283,+
ENSSSCG00000000528,ENSSSCT00000000570,5,41424845,+
ENSSSCG00000000530,ENSSSCT00000039923,5,41879062,-
ENSSSCG00000000531,ENSSSCT00000023961,5,42143620,-
ENSSSCG00000000534,ENSSSCT00000000576,5,43099749,+
ENSSSCG00000000536,ENSSSCT00000000578,5,44342290,+
ENSSSCG00000000541,ENSSSCT00000097470,5,44559374,-
ENSSSCG00000000545,ENSSSCT00000000588,5,45954881,-
ENSSSCG00000000547,ENSSSCT00000000590,5,46023293,-
ENSSSCG00000000549,ENSSSCT00000104468,5,46222839,-
ENSSSCG00000000551,ENSSSCT00000000594,5,46482461,-
ENSSSCG00000000553,ENSSSCT00000000596,5,46740949,+
ENSSSCG00000000554,ENSSSCT00000000597,5,46824153,-
ENSSSCG00000000555,ENSSSCT00000074425,5,46935932,+
ENSSSCG00000000559,ENSSSCT00000038738,5,47847452,-
ENSSSCG00000000563,ENSSSCT00000061807,5,48766390,-
ENSSSCG00000000567,ENSSSCT00000087945,5,49677791,+
ENSSSCG00000000570,ENSSSCT00000058783,5,51040514,+
ENSSSCG00000000571,ENSSSCT00000056800,5,51536526,+
ENSSSCG00000000573,ENSSSCT00000046832,5,51696188,+
ENSSSCG00000000576,ENSSSCT00000000620,5,51810943,+
ENSSSCG00000000577,ENSSSCT00000036982,5,51862863,+
ENSSSCG00000000579,ENSSSCT00000069758,5,51953084,-
ENSSSCG00000000580,ENSSSCT00000059872,5,51953451,+
ENSSSCG00000000582,ENSSSCT00000059687,5,52050525,-
ENSSSCG00000000583,ENSSSCT00000000627,5,52020809,-
ENSSSCG00000000584,ENSSSCT00000042165,5,52049443,+
ENSSSCG00000000585,ENSSSCT00000000630,5,52315026,-
ENSSSCG00000000587,ENSSSCT00000037031,5,53691042,-
ENSSSCG00000000588,ENSSSCT00000000633,5,53941839,-
ENSSSCG00000000589,ENSSSCT00000000634,5,54413565,-
ENSSSCG00000000590,ENSSSCT00000000635,5,54408296,+
ENSSSCG00000000591,ENSSSCT00000098322,5,54849512,-
ENSSSCG00000000598,ENSSSCT00000000643,5,56345871,+
ENSSSCG00000000599,ENSSSCT00000054879,5,56665382,-
ENSSSCG00000000600,ENSSSCT00000028702,5,56876812,+
ENSSSCG00000000601,ENSSSCT00000027092,5,57263346,-
ENSSSCG00000000602,ENSSSCT00000000647,5,57349382,+
ENSSSCG00000000605,ENSSSCT00000000651,5,57599802,+
ENSSSCG00000000607,ENSSSCT00000107050,5,57708852,+
ENSSSCG00000000610,ENSSSCT00000000656,5,57740226,+
ENSSSCG00000000611,ENSSSCT00000077022,5,57750015,+
ENSSSCG00000000612,ENSSSCT00000052005,5,58133399,-
ENSSSCG00000000614,ENSSSCT00000061900,5,58480528,+
ENSSSCG00000000619,ENSSSCT00000060779,5,59491536,-
ENSSSCG00000000623,ENSSSCT00000000669,5,60357897,-
ENSSSCG00000000625,ENSSSCT00000039050,5,60149028,+
ENSSSCG00000000629,ENSSSCT00000000674,5,61092015,+
ENSSSCG00000000633,ENSSSCT00000027246,5,61337862,+
ENSSSCG00000000634,ENSSSCT00000000681,5,61397025,+
ENSSSCG00000000635,ENSSSCT00000091974,5,61425694,+
ENSSSCG00000000636,ENSSSCT00000071176,5,61439602,+
ENSSSCG00000000638,ENSSSCT00000000687,5,61557105,+
ENSSSCG00000000640,ENSSSCT00000000689,5,61624596,+
ENSSSCG00000000642,ENSSSCT00000082267,5,61673129,-
ENSSSCG00000000645,ENSSSCT00000000696,5,61767601,-
ENSSSCG00000000647,ENSSSCT00000069179,5,61799286,+
ENSSSCG00000000648,ENSSSCT00000086876,5,61832954,+
ENSSSCG00000000650,ENSSSCT00000026674,5,61946340,-
ENSSSCG00000000651,ENSSSCT00000000705,5,61908731,+
ENSSSCG00000000653,ENSSSCT00000000709,5,62077988,+
ENSSSCG00000000656,ENSSSCT00000035827,5,61996760,+
ENSSSCG00000000657,ENSSSCT00000034328,5,62204900,-
ENSSSCG00000000660,ENSSSCT00000073778,5,62440810,+
ENSSSCG00000000661,ENSSSCT00000031706,5,62580651,-
ENSSSCG00000000663,ENSSSCT00000000719,5,62523810,-
ENSSSCG00000000664,ENSSSCT00000000720,5,62648201,-
ENSSSCG00000000665,ENSSSCT00000000721,5,62715067,-
ENSSSCG00000000667,ENSSSCT00000000723,5,62777352,+
ENSSSCG00000000668,ENSSSCT00000000724,5,62820173,-
ENSSSCG00000000669,ENSSSCT00000000725,5,62841884,-
ENSSSCG00000000672,ENSSSCT00000037575,5,63599525,-
ENSSSCG00000000679,ENSSSCT00000000740,5,63817225,-
ENSSSCG00000000680,ENSSSCT00000000741,5,63891219,-
ENSSSCG00000000681,ENSSSCT00000000742,5,63885034,-
ENSSSCG00000000682,ENSSSCT00000000743,5,63870433,-
ENSSSCG00000000683,ENSSSCT00000000744,5,63859541,+
ENSSSCG00000000684,ENSSSCT00000000745,5,63858716,-
ENSSSCG00000000685,ENSSSCT00000000746,5,63843124,-
ENSSSCG00000000687,ENSSSCT00000000748,5,63918519,-
ENSSSCG00000000688,ENSSSCT00000000750,5,63935410,-
ENSSSCG00000000690,ENSSSCT00000000752,5,63951722,+
ENSSSCG00000000691,ENSSSCT00000049774,5,63977370,-
ENSSSCG00000000692,ENSSSCT00000000754,5,63993624,+
ENSSSCG00000000693,ENSSSCT00000000755,5,64167410,-
ENSSSCG00000000694,ENSSSCT00000000756,5,64133991,-
ENSSSCG00000000695,ENSSSCT00000083719,5,64116150,+
ENSSSCG00000000696,ENSSSCT00000000758,5,64106098,+
ENSSSCG00000000697,ENSSSCT00000003736,5,64065992,+
ENSSSCG00000000700,ENSSSCT00000092092,5,64037095,+
ENSSSCG00000000702,ENSSSCT00000091133,5,64003216,+
ENSSSCG00000000703,ENSSSCT00000071347,5,64181836,+
ENSSSCG00000000704,ENSSSCT00000000766,5,64196994,-
ENSSSCG00000000706,ENSSSCT00000056124,5,64278469,-
ENSSSCG00000000707,ENSSSCT00000044695,5,64285015,+
ENSSSCG00000000708,ENSSSCT00000102588,5,64319051,+
ENSSSCG00000000709,ENSSSCT00000060629,5,64350710,-
ENSSSCG00000000712,ENSSSCT00000077273,5,64660442,+
ENSSSCG00000000716,ENSSSCT00000000779,5,65565116,-
ENSSSCG00000000718,ENSSSCT00000000781,5,65735536,-
ENSSSCG00000000719,ENSSSCT00000040924,5,65788646,-
ENSSSCG00000000720,ENSSSCT00000064398,5,65797376,+
ENSSSCG00000000721,ENSSSCT00000000784,5,65870092,-
ENSSSCG00000000722,ENSSSCT00000062312,5,65897211,-
ENSSSCG00000000723,ENSSSCT00000000786,5,65897541,+
ENSSSCG00000000728,ENSSSCT00000036895,5,66448716,+
ENSSSCG00000000730,ENSSSCT00000077366,5,66754286,-
ENSSSCG00000000732,ENSSSCT00000050127,5,66533033,+
ENSSSCG00000000734,ENSSSCT00000000797,5,66853404,+
ENSSSCG00000000735,ENSSSCT00000063353,5,66995223,-
ENSSSCG00000000736,ENSSSCT00000064867,5,67194072,-
ENSSSCG00000000737,ENSSSCT00000040316,5,67238322,-
ENSSSCG00000000738,ENSSSCT00000043604,5,67246124,-
ENSSSCG00000000739,ENSSSCT00000029857,5,67246220,+
ENSSSCG00000000740,ENSSSCT00000000803,5,67263117,+
ENSSSCG00000000741,ENSSSCT00000000805,5,67281107,+
ENSSSCG00000000742,ENSSSCT00000000806,5,67305607,-
ENSSSCG00000000743,ENSSSCT00000085969,5,67322028,-
ENSSSCG00000000745,ENSSSCT00000000809,5,67364877,+
ENSSSCG00000000746,ENSSSCT00000039963,5,67412404,-
ENSSSCG00000000748,ENSSSCT00000085918,5,67445838,+
ENSSSCG00000000749,ENSSSCT00000057522,5,67572588,-
ENSSSCG00000000751,ENSSSCT00000000815,5,67725834,+
ENSSSCG00000000753,ENSSSCT00000038423,5,68000905,+
ENSSSCG00000000754,ENSSSCT00000000818,5,68167642,-
ENSSSCG00000000755,ENSSSCT00000000819,5,68223729,+
ENSSSCG00000000757,ENSSSCT00000000821,5,68755811,+
ENSSSCG00000000759,ENSSSCT00000094237,5,68729641,+
ENSSSCG00000000760,ENSSSCT00000000824,5,68822539,+
ENSSSCG00000000765,ENSSSCT00000033369,5,69461290,+
ENSSSCG00000000766,ENSSSCT00000054850,5,69622094,+
ENSSSCG00000000769,ENSSSCT00000000833,5,69875853,-
ENSSSCG00000000770,ENSSSCT00000000834,5,70059494,-
ENSSSCG00000000774,ENSSSCT00000065704,5,70183308,+
ENSSSCG00000000778,ENSSSCT00000028240,5,70660195,-
ENSSSCG00000000779,ENSSSCT00000053315,5,71029809,-
ENSSSCG00000000781,ENSSSCT00000000845,5,71180723,-
ENSSSCG00000000782,ENSSSCT00000069177,5,71185592,+
ENSSSCG00000000783,ENSSSCT00000000848,5,71673785,-
ENSSSCG00000000784,ENSSSCT00000102525,5,71800225,+
ENSSSCG00000000789,ENSSSCT00000048567,5,72168511,+
ENSSSCG00000000791,ENSSSCT00000000857,5,72787914,+
ENSSSCG00000000793,ENSSSCT00000065723,5,73556287,+
ENSSSCG00000000795,ENSSSCT00000000862,5,74672703,-
ENSSSCG00000000798,ENSSSCT00000105277,5,74881217,-
ENSSSCG00000000799,ENSSSCT00000000866,5,74834858,+
ENSSSCG00000000800,ENSSSCT00000065568,5,74834428,-
ENSSSCG00000000801,ENSSSCT00000000868,5,74917463,+
ENSSSCG00000000802,ENSSSCT00000068987,5,75837442,-
ENSSSCG00000000804,ENSSSCT00000045644,5,76113212,+
ENSSSCG00000000806,ENSSSCT00000045668,5,76848660,-
ENSSSCG00000000807,ENSSSCT00000000876,5,77058427,-
ENSSSCG00000000808,ENSSSCT00000000877,5,77127650,-
ENSSSCG00000000810,ENSSSCT00000000879,5,77645753,-
ENSSSCG00000000811,ENSSSCT00000047265,5,77786042,+
ENSSSCG00000000816,ENSSSCT00000064113,5,78476195,-
ENSSSCG00000000837,ENSSSCT00000064544,5,80067795,-
ENSSSCG00000000838,ENSSSCT00000039548,5,79593915,+
ENSSSCG00000000839,ENSSSCT00000000913,5,79492732,+
ENSSSCG00000000840,ENSSSCT00000067256,5,79474609,-
ENSSSCG00000000841,ENSSSCT00000000915,5,79356067,+
ENSSSCG00000000842,ENSSSCT00000061249,5,79314995,-
ENSSSCG00000000843,ENSSSCT00000072574,5,80236219,-
ENSSSCG00000000844,ENSSSCT00000048491,5,80334748,+
ENSSSCG00000000846,ENSSSCT00000000923,5,80409775,-
ENSSSCG00000000847,ENSSSCT00000000924,5,80492287,-
ENSSSCG00000000848,ENSSSCT00000057717,5,80410372,+
ENSSSCG00000000849,ENSSSCT00000047341,5,80530991,-
ENSSSCG00000000853,ENSSSCT00000069041,5,80646280,+
ENSSSCG00000000856,ENSSSCT00000074350,5,81385435,+
ENSSSCG00000000857,ENSSSCT00000000936,5,81776422,+
ENSSSCG00000000858,ENSSSCT00000000937,5,82018915,+
ENSSSCG00000000859,ENSSSCT00000050761,5,82091376,-
ENSSSCG00000000860,ENSSSCT00000060058,5,82091517,+
ENSSSCG00000000862,ENSSSCT00000028915,5,82361930,+
ENSSSCG00000000863,ENSSSCT00000056890,5,82493034,+
ENSSSCG00000000864,ENSSSCT00000037997,5,82544264,-
ENSSSCG00000000866,ENSSSCT00000073265,5,82696126,-
ENSSSCG00000000867,ENSSSCT00000000947,5,82795864,-
ENSSSCG00000000869,ENSSSCT00000000949,5,82913155,-
ENSSSCG00000000870,ENSSSCT00000091276,5,82796121,+
ENSSSCG00000000871,ENSSSCT00000000951,5,82973284,+
ENSSSCG00000000873,ENSSSCT00000000956,5,83411449,-
ENSSSCG00000000874,ENSSSCT00000047782,5,83580078,-
ENSSSCG00000000875,ENSSSCT00000066726,5,83684604,-
ENSSSCG00000000877,ENSSSCT00000049215,5,83869460,-
ENSSSCG00000000884,ENSSSCT00000064350,5,85258364,-
