Gene ID	Representative Transcript ID	Chromosome	TSS	strand
ENSDARG00000002355	ENSDART00000020044	5	42124706	+
ENSDARG00000002362	ENSDART00000112768	12	20120711	-
ENSDARG00000002365	ENSDART00000011076	22	5822147	-
ENSDARG00000002369	ENSDART00000035235	5	42064144	+
ENSDARG00000002377	ENSDART00000103626	1	8521323	+
ENSDARG00000002391	ENSDART00000027848	21	26089964	-
ENSDARG00000002396	ENSDART00000139329	24	20208474	-
ENSDARG00000002401	ENSDART00000193661	17	24890932	-
ENSDARG00000002402	ENSDART00000013066	6	9630081	-
ENSDARG00000002403	ENSDART00000003314	13	33256667	-
ENSDARG00000002405	ENSDART00000147639	5	20814588	-
ENSDARG00000002406	ENSDART00000017413	1	22691256	+
ENSDARG00000002411	ENSDART00000139454	11	6684968	+
ENSDARG00000002445	ENSDART00000017445	16	7443388	-
ENSDARG00000002463	ENSDART00000106039	14	24840669	+
ENSDARG00000002467	ENSDART00000025330	20	9428021	-
ENSDARG00000002479	ENSDART00000015401	5	23913585	+
ENSDARG00000002483	ENSDART00000192762	23	4414164	+
ENSDARG00000002487	ENSDART00000152622	12	5418340	-
ENSDARG00000002494	ENSDART00000192872	11	10975012	+
ENSDARG00000002506	ENSDART00000174258	7	41881177	-
ENSDARG00000002507	ENSDART00000139859	16	14353567	-
ENSDARG00000002508	ENSDART00000023686	6	39279104	+
ENSDARG00000002509	ENSDART00000075299	13	35976986	-
ENSDARG00000002510	ENSDART00000026693	6	3573716	-
ENSDARG00000002523	ENSDART00000155742	10	11260170	+
ENSDARG00000002533	ENSDART00000191749	5	62801879	-
ENSDARG00000002536	ENSDART00000006765	23	7548797	+
ENSDARG00000002538	ENSDART00000098346	14	6228996	+
ENSDARG00000002546	ENSDART00000123712	12	9817462	+
ENSDARG00000002549	ENSDART00000023926	19	22664398	-
ENSDARG00000002552	ENSDART00000027532	11	21218172	-
ENSDARG00000002564	ENSDART00000003939	3	21280373	-
ENSDARG00000002571	ENSDART00000012164	18	39327010	+
ENSDARG00000002576	ENSDART00000192042	12	3848114	+
ENSDARG00000002582	ENSDART00000004333	9	21067971	-
ENSDARG00000002587	ENSDART00000065097	21	43015383	-
ENSDARG00000002589	ENSDART00000003847	12	15008582	+
ENSDARG00000002591	ENSDART00000011931	6	40832635	+
ENSDARG00000002593	ENSDART00000030887	21	19445942	+
ENSDARG00000002597	ENSDART00000126848	8	45334255	+
ENSDARG00000002600	ENSDART00000147473	21	11684830	+
ENSDARG00000002601	ENSDART00000011627	23	37815645	+
ENSDARG00000002607	ENSDART00000103507	11	26476153	+
ENSDARG00000002609	ENSDART00000004550	14	34966598	+
ENSDARG00000002613	ENSDART00000018553	19	25465025	+
ENSDARG00000002632	ENSDART00000149089	12	48815988	+
ENSDARG00000002635	ENSDART00000005313	17	15382704	-
ENSDARG00000002642	ENSDART00000169043	8	18880399	-
ENSDARG00000002644	ENSDART00000127612	6	35401282	-
ENSDARG00000002656	ENSDART00000142806	20	31905968	-
ENSDARG00000002659	ENSDART00000004474	23	9807578	-
ENSDARG00000002663	ENSDART00000014036	4	8016457	+
ENSDARG00000002666	ENSDART00000019267	10	39304422	+
ENSDARG00000002670	ENSDART00000018683	17	10748366	+
ENSDARG00000002682	ENSDART00000185548	15	20949692	-
ENSDARG00000002685	ENSDART00000179766	7	24838857	-
ENSDARG00000002690	ENSDART00000115356	11	24816238	+
ENSDARG00000002696	ENSDART00000005547	19	5125663	-
ENSDARG00000002701	ENSDART00000172804	7	13756215	+
ENSDARG00000002707	ENSDART00000026907	14	30540967	-
ENSDARG00000002710	ENSDART00000130171	22	36690691	-
ENSDARG00000002720	ENSDART00000127397	18	7056702	-
ENSDARG00000002731	ENSDART00000141437	19	47276297	-
ENSDARG00000002732	ENSDART00000010148	14	17376977	+
ENSDARG00000002745	ENSDART00000147105	20	18992679	+
ENSDARG00000002748	ENSDART00000136361	19	390298	+
ENSDARG00000002750	ENSDART00000123263	11	25044082	+
ENSDARG00000002754	ENSDART00000003346	25	30442389	+
ENSDARG00000002758	ENSDART00000065467	16	10841163	+
ENSDARG00000002760	ENSDART00000015051	6	52644182	-
ENSDARG00000002764	ENSDART00000140752	18	6742287	-
ENSDARG00000002768	ENSDART00000143534	12	17712393	-
ENSDARG00000002771	ENSDART00000042002	5	28109416	-
ENSDARG00000002779	ENSDART00000014696	24	21684189	+
ENSDARG00000002787	ENSDART00000045679	18	20225961	+
ENSDARG00000002790	ENSDART00000046587	2	9818711	-
ENSDARG00000002791	ENSDART00000081047	1	1712140	+
ENSDARG00000002792	ENSDART00000014666	5	30516646	-
ENSDARG00000002795	ENSDART00000018945	15	6863317	-
ENSDARG00000002797	ENSDART00000056021	3	3693417	+
ENSDARG00000002798	ENSDART00000013150	18	5850837	+
ENSDARG00000002816	ENSDART00000083350	5	51443009	+
ENSDARG00000002826	ENSDART00000048537	20	32149020	-
ENSDARG00000002830	ENSDART00000182975	5	24542726	-
ENSDARG00000002831	ENSDART00000154476	15	36055401	-
ENSDARG00000002840	ENSDART00000133210	1	44704261	-
ENSDARG00000002847	ENSDART00000014163	20	31067306	-
ENSDARG00000002872	ENSDART00000138018	3	52661242	-
ENSDARG00000002877	ENSDART00000132132	20	39223235	+
ENSDARG00000002894	ENSDART00000019759	20	29231556	+
ENSDARG00000002897	ENSDART00000008133	11	2632747	-
ENSDARG00000002909	ENSDART00000147070	22	17688873	-
ENSDARG00000002912	ENSDART00000131976	11	24800156	+
ENSDARG00000002916	ENSDART00000014190	12	48467781	-
ENSDARG00000002917	ENSDART00000031005	22	10110959	-
ENSDARG00000002933	ENSDART00000015333	6	16031189	+
ENSDARG00000002937	ENSDART00000028018	1	51479128	+
ENSDARG00000002945	ENSDART00000049836	23	20051369	-
ENSDARG00000002947	ENSDART00000005643	2	15125512	-
ENSDARG00000002949	ENSDART00000007458	5	31983098	+
ENSDARG00000002952	ENSDART00000005985	4	14971239	+
ENSDARG00000002956	ENSDART00000025912	12	4114401	+
ENSDARG00000002959	ENSDART00000024795	9	33417969	+
ENSDARG00000002967	ENSDART00000018626	3	40284744	-
ENSDARG00000002968	ENSDART00000152292	12	6177894	-
ENSDARG00000002970	ENSDART00000011919	2	1364678	-
ENSDARG00000002971	ENSDART00000188643	16	31942527	+
ENSDARG00000002986	ENSDART00000014013	5	25723079	-
ENSDARG00000002988	ENSDART00000139235	25	20215964	+
ENSDARG00000002991	ENSDART00000033436	20	25711718	+
ENSDARG00000002994	ENSDART00000148346	21	21279159	+
ENSDARG00000003008	ENSDART00000105608	12	25640480	+
ENSDARG00000003017	ENSDART00000008490	9	8968702	+
ENSDARG00000003021	ENSDART00000009184	7	51710015	-
ENSDARG00000003022	ENSDART00000004686	21	40835069	-
ENSDARG00000003027	ENSDART00000004284	16	29690196	-
ENSDARG00000003032	ENSDART00000011878	5	24219344	-
ENSDARG00000003035	ENSDART00000012438	14	12142828	+
ENSDARG00000003054	ENSDART00000003278	1	52518176	+
ENSDARG00000003058	ENSDART00000159485	20	30578163	+
ENSDARG00000003061	ENSDART00000150013	18	50524017	-
ENSDARG00000003068	ENSDART00000024619	2	23808640	+
ENSDARG00000003069	ENSDART00000149024	20	27190393	-
ENSDARG00000003077	ENSDART00000016553	12	45676667	+
ENSDARG00000003081	ENSDART00000183742	6	55032534	+
ENSDARG00000003084	ENSDART00000035245	25	34888886	+
ENSDARG00000003085	ENSDART00000152478	12	17152139	-
ENSDARG00000003087	ENSDART00000017755	22	22260210	+
ENSDARG00000003091	ENSDART00000134432	5	26212621	+
ENSDARG00000003098	ENSDART00000108508	8	28342487	-
ENSDARG00000003109	ENSDART00000020638	9	35843732	+
ENSDARG00000003113	ENSDART00000019519	23	25976656	-
ENSDARG00000003127	ENSDART00000007675	21	32467799	-
ENSDARG00000003132	ENSDART00000007487	7	49901483	+
ENSDARG00000003142	ENSDART00000018827	1	30689004	-
ENSDARG00000003144	ENSDART00000026516	5	20123002	-
ENSDARG00000003146	ENSDART00000057913	13	17702522	+
ENSDARG00000003151	ENSDART00000008454	21	45349548	-
ENSDARG00000003153	ENSDART00000023721	18	22735002	-
ENSDARG00000003157	ENSDART00000059017	10	8041948	-
ENSDARG00000003165	ENSDART00000176170	11	6116503	+
ENSDARG00000003167	ENSDART00000185149	12	18542954	+
ENSDARG00000003169	ENSDART00000103969	11	18873113	+
ENSDARG00000003175	ENSDART00000146315	21	26536950	+
ENSDARG00000003181	ENSDART00000030557	8	53179683	-
ENSDARG00000003189	ENSDART00000159016	22	37631034	+
ENSDARG00000003193	ENSDART00000025451	7	49654588	+
ENSDARG00000003197	ENSDART00000024088	16	3185541	+
ENSDARG00000003200	ENSDART00000008898	4	5831522	-
ENSDARG00000003203	ENSDART00000053521	7	14291323	+
ENSDARG00000003205	ENSDART00000019206	19	20777351	-
ENSDARG00000003206	ENSDART00000143933	23	34047413	+
ENSDARG00000003207	ENSDART00000006338	19	44065581	-
ENSDARG00000003208	ENSDART00000122695	13	9548849	+
ENSDARG00000003213	ENSDART00000124417	14	46118834	+
ENSDARG00000003216	ENSDART00000011967	25	34013093	+
ENSDARG00000003217	ENSDART00000176800	13	24263682	-
ENSDARG00000003219	ENSDART00000025196	23	33753361	-
ENSDARG00000003229	ENSDART00000019296	14	22457230	+
ENSDARG00000003235	ENSDART00000023123	5	59111966	-
ENSDARG00000003244	ENSDART00000143885	2	43894368	+
ENSDARG00000003250	ENSDART00000006120	23	29812667	-
ENSDARG00000003251	ENSDART00000110366	19	7001170	+
ENSDARG00000003257	ENSDART00000006256	9	17429170	+
ENSDARG00000003259	ENSDART00000125407	10	7756871	-
ENSDARG00000003269	ENSDART00000172848	7	7511914	+
ENSDARG00000003270	ENSDART00000074068	3	13437817	-
ENSDARG00000003281	ENSDART00000134697	5	20879527	-
ENSDARG00000003287	ENSDART00000012903	6	9646275	-
ENSDARG00000003290	ENSDART00000167202	2	1569250	-
ENSDARG00000003293	ENSDART00000127937	12	1951284	-
ENSDARG00000003303	ENSDART00000025008	8	50346246	-
ENSDARG00000003307	ENSDART00000154738	6	49722971	+
ENSDARG00000003308	ENSDART00000023238	16	38659475	+
ENSDARG00000003311	ENSDART00000133041	13	15215633	+
ENSDARG00000003313	ENSDART00000155735	24	38658334	+
ENSDARG00000003320	ENSDART00000019459	19	33093395	+
ENSDARG00000003326	ENSDART00000017774	6	21395051	+
ENSDARG00000003328	ENSDART00000136689	13	9612395	+
ENSDARG00000003344	ENSDART00000050172	21	30746348	+
ENSDARG00000003373	ENSDART00000012212	22	38037530	+
ENSDARG00000003375	ENSDART00000149584	2	10338813	-
ENSDARG00000003380	ENSDART00000012457	13	30662403	-
ENSDARG00000003381	ENSDART00000052439	17	15388479	+
ENSDARG00000003382	ENSDART00000100924	2	5723786	-
ENSDARG00000003383	ENSDART00000013797	23	27505925	-
ENSDARG00000003395	ENSDART00000156697	15	36054864	+
ENSDARG00000003398	ENSDART00000005067	1	14454663	+
ENSDARG00000003399	ENSDART00000025583	13	28495419	+
ENSDARG00000003411	ENSDART00000014296	17	42568498	-
ENSDARG00000003420	ENSDART00000021372	18	40509006	-
ENSDARG00000003421	ENSDART00000191372	9	12574473	-
ENSDARG00000003429	ENSDART00000020631	10	5024520	-
ENSDARG00000003444	ENSDART00000005670	13	31544365	-
ENSDARG00000003446	ENSDART00000131217	22	10539180	-
ENSDARG00000003449	ENSDART00000161684	13	4505232	+
ENSDARG00000003462	ENSDART00000148540	21	1647990	+
ENSDARG00000003469	ENSDART00000145072	23	28347039	-
ENSDARG00000003475	ENSDART00000046933	23	24493811	-
ENSDARG00000003486	ENSDART00000025046	3	30909487	-
ENSDARG00000003487	ENSDART00000179783	18	17537975	+
ENSDARG00000003495	ENSDART00000047208	7	34413398	-
ENSDARG00000003512	ENSDART00000169704	4	18202291	-
ENSDARG00000003517	ENSDART00000010683	2	26682913	+
ENSDARG00000003519	ENSDART00000148514	7	55539805	-
ENSDARG00000003520	ENSDART00000133420	7	39679944	+
ENSDARG00000003523	ENSDART00000165193	14	16345004	+
ENSDARG00000003526	ENSDART00000020655	11	36350993	-
ENSDARG00000003527	ENSDART00000113837	8	45402124	-
ENSDARG00000003531	ENSDART00000101861	2	30739680	+
ENSDARG00000003533	ENSDART00000154717	22	28653074	-
ENSDARG00000003544	ENSDART00000185579	9	45227028	+
ENSDARG00000003553	ENSDART00000006795	7	52364748	+
ENSDARG00000003564	ENSDART00000018515	8	20858676	-
ENSDARG00000003570	ENSDART00000004879	4	9836465	+
ENSDARG00000003573	ENSDART00000010944	3	35554809	-
ENSDARG00000003576	ENSDART00000017562	16	32238020	+
ENSDARG00000003584	ENSDART00000016090	20	35470994	-
ENSDARG00000003592	ENSDART00000011337	5	33281105	+
ENSDARG00000003599	ENSDART00000011251	3	29871364	-
ENSDARG00000003607	ENSDART00000022379	2	24374305	+
ENSDARG00000003615	ENSDART00000101043	4	18804317	+
ENSDARG00000003616	ENSDART00000019581	18	18879733	+
ENSDARG00000003631	ENSDART00000133959	1	19433004	+
ENSDARG00000003632	ENSDART00000023323	11	36243774	+
ENSDARG00000003635	ENSDART00000015136	5	38596630	+
ENSDARG00000003641	ENSDART00000013591	9	30112423	+
ENSDARG00000003655	ENSDART00000027345	22	21150845	-
ENSDARG00000003675	ENSDART00000130023	9	21383620	+
ENSDARG00000003680	ENSDART00000162517	19	33701366	+
ENSDARG00000003681	ENSDART00000185605	20	18702624	+
ENSDARG00000003684	ENSDART00000137136	6	21189295	-
ENSDARG00000003693	ENSDART00000141471	14	7377597	+
ENSDARG00000003695	ENSDART00000134044	8	2434287	-
ENSDARG00000003697	ENSDART00000032982	6	49078263	-
ENSDARG00000003699	ENSDART00000185239	14	22397251	+
ENSDARG00000003701	ENSDART00000015547	1	33647169	-
ENSDARG00000003705	ENSDART00000154348	25	3677650	+
ENSDARG00000003706	ENSDART00000165606	17	20118244	-
ENSDARG00000003732	ENSDART00000143374	6	43400059	+
ENSDARG00000003749	ENSDART00000002764	8	2456854	+
ENSDARG00000003750	ENSDART00000012581	20	25445826	+
ENSDARG00000003751	ENSDART00000027119	20	1268869	-
ENSDARG00000003754	ENSDART00000041942	6	49159207	-
ENSDARG00000003757	ENSDART00000020792	2	29996036	-
ENSDARG00000003769	ENSDART00000004365	7	39738505	+
ENSDARG00000003776	ENSDART00000191137	24	17068724	+
ENSDARG00000003779	ENSDART00000090292	2	30693742	-
ENSDARG00000003789	ENSDART00000140510	4	16706978	-
ENSDARG00000003797	ENSDART00000026088	20	27311675	-
ENSDARG00000003808	ENSDART00000009182	5	43006422	+
ENSDARG00000003811	ENSDART00000182093	4	14531687	-
ENSDARG00000003818	ENSDART00000022179	6	2222707	-
ENSDARG00000003820	ENSDART00000153675	16	50089417	+
ENSDARG00000003822	ENSDART00000037600	4	11458078	+
ENSDARG00000003827	ENSDART00000003888	13	37600600	-
ENSDARG00000003829	ENSDART00000136217	13	24218795	-
ENSDARG00000003835	ENSDART00000191700	21	17541634	+
ENSDARG00000003841	ENSDART00000007029	25	13677299	+
ENSDARG00000003845	ENSDART00000005479	21	34686764	+
ENSDARG00000003846	ENSDART00000162933	7	72577898	+
ENSDARG00000003854	ENSDART00000130801	14	970853	-
ENSDARG00000003860	ENSDART00000012352	19	18136410	-
ENSDARG00000003866	ENSDART00000019743	1	29798140	+
ENSDARG00000003867	ENSDART00000140098	8	7504201	-
ENSDARG00000003869	ENSDART00000139069	16	36748538	+
ENSDARG00000003872	ENSDART00000011324	7	28724919	+
ENSDARG00000003877	ENSDART00000159683	11	3959889	-
