Gene	start	end	length
ENSSSCG00000004342	64034406	64044800	10394
ENSSSCG00000045756	71456042	71457405	1363
ENSSSCG00000005012	179713299	179717841	4542
ENSSSCG00000050274	66673443	66674538	1095
ENSSSCG00000045405	44151339	44154814	3475
ENSSSCG00000041223	44630176	44632835	2659
ENSSSCG00000005029	181681352	181698979	17627
ENSSSCG00000047501	63387627	63390836	3209
ENSSSCG00000005030	181699106	181815167	116061
ENSSSCG00000049526	46070671	46075967	5296
ENSSSCG00000004939	163894312	164275442	381130
ENSSSCG00000021862	181994560	182009953	15393
ENSSSCG00000005027	181338525	181416840	78315
ENSSSCG00000047735	48714397	48885721	171324
ENSSSCG00000028092	181428919	181651972	223053
ENSSSCG00000004941	164310448	164353537	43089
ENSSSCG00000004942	164350705	164369223	18518
ENSSSCG00000046948	179247746	179253518	5772
ENSSSCG00000004943	164381845	164471226	89381
ENSSSCG00000036735	179899646	179906967	7321
ENSSSCG00000005015	179907590	180015220	107630
ENSSSCG00000050792	179978658	179983974	5316
ENSSSCG00000005016	180020863	180069146	48283
ENSSSCG00000031354	180068973	180081412	12439
ENSSSCG00000038941	164467599	164475011	7412
ENSSSCG00000004945	164475357	164481534	6177
ENSSSCG00000005787	145769771	145811678	41907
ENSSSCG00000034516	180078659	180145054	66395
ENSSSCG00000027654	150711628	150817437	105809
ENSSSCG00000036634	180164458	180299496	135038
ENSSSCG00000005785	145508534	145695666	187132
ENSSSCG00000004946	164481964	164527223	45259
ENSSSCG00000048049	180261624	180266784	5160
ENSSSCG00000005020	180299256	180405837	106581
ENSSSCG00000005786	145707413	145719385	11972
ENSSSCG00000051767	164482680	164485757	3077
ENSSSCG00000004947	164526502	164540118	13616
ENSSSCG00000004948	164656887	164735704	78817
ENSSSCG00000004971	167808510	167855911	47401
ENSSSCG00000005021	180406162	180434196	28034
ENSSSCG00000038767	147590865	147685290	94425
ENSSSCG00000004963	166664260	166675079	10819
ENSSSCG00000005022	180479758	180592241	112483
ENSSSCG00000032244	166818037	166841693	23656
ENSSSCG00000004966	166868087	166907522	39435
ENSSSCG00000026078	167007939	167122186	114247
ENSSSCG00000004968	167154660	167231039	76379
ENSSSCG00000005024	180620314	180719979	99665
ENSSSCG00000004969	167239997	167281245	41248
ENSSSCG00000004970	167296094	167298263	2169
ENSSSCG00000023533	147690556	147782129	91573
ENSSSCG00000004952	164998103	165124449	126346
ENSSSCG00000005023	180639898	180661065	21167
ENSSSCG00000004859	147984481	148087719	103238
ENSSSCG00000005025	180723287	180830243	106956
ENSSSCG00000004856	145911046	146008139	97093
ENSSSCG00000004951	165127994	165192924	64930
ENSSSCG00000038422	180933859	180951341	17482
ENSSSCG00000004954	165436814	165441736	4922
ENSSSCG00000005002	176770071	177593876	823805
ENSSSCG00000005001	176603248	176603892	644
ENSSSCG00000004955	165458258	165740297	282039
ENSSSCG00000030679	175145913	175156606	10693
ENSSSCG00000004996	175164040	175178727	14687
ENSSSCG00000027765	175198385	175275159	76774
ENSSSCG00000004857	146022978	146221769	198791
ENSSSCG00000004956	165751321	165762299	10978
ENSSSCG00000004997	175285270	175317298	32028
ENSSSCG00000021217	175317559	175332987	15428
ENSSSCG00000004958	165957132	166087239	130107
ENSSSCG00000040521	146060590	146061439	849
ENSSSCG00000005000	175334141	175400685	66544
ENSSSCG00000004858	146252155	146273906	21751
ENSSSCG00000026517	166083629	166099593	15964
ENSSSCG00000004957	166107228	166126808	19580
ENSSSCG00000004861	148906075	148984832	78757
ENSSSCG00000032488	148987518	148997954	10436
ENSSSCG00000004999	175401390	175448276	46886
ENSSSCG00000047027	174313029	174317826	4797
ENSSSCG00000046029	180878428	180878805	377
ENSSSCG00000049486	175491688	175493052	1364
ENSSSCG00000004869	149521510	149562623	41113
ENSSSCG00000022419	166162883	166175937	13054
ENSSSCG00000004961	166186613	166310800	124187
ENSSSCG00000004962	166465953	166608363	142410
ENSSSCG00000043563	180477274	180479254	1980
ENSSSCG00000049234	179807733	179812216	4483
ENSSSCG00000019885	175312934	175313019	85
ENSSSCG00000004870	149565335	149583998	18663
ENSSSCG00000039486	149611380	149629078	17698
ENSSSCG00000004973	168350557	168453344	102787
ENSSSCG00000004847	143972596	143994041	21445
ENSSSCG00000035696	143993394	144024879	31485
ENSSSCG00000004849	144071859	144315151	243292
ENSSSCG00000004850	144316121	144788290	472169
ENSSSCG00000004854	144930370	145195836	265466
ENSSSCG00000004974	168507976	168530239	22263
ENSSSCG00000004976	168544421	168700891	156470
ENSSSCG00000033540	145203482	145204789	1307
ENSSSCG00000036984	147443821	147463542	19721
ENSSSCG00000004980	168751582	169323977	572395
ENSSSCG00000004874	149687631	149725161	37530
ENSSSCG00000004875	149737571	149773219	35648
ENSSSCG00000004978	169360729	169366087	5358
ENSSSCG00000037781	169372141	169373221	1080
ENSSSCG00000005781	145302278	145357778	55500
ENSSSCG00000004979	169374311	169596412	222101
ENSSSCG00000020859	150973622	150980757	7135
ENSSSCG00000004843	143709864	143855984	146120
ENSSSCG00000025616	169596200	169616138	19938
ENSSSCG00000026486	169638116	169645093	6977
ENSSSCG00000024102	169650790	169652905	2115
ENSSSCG00000026167	169663660	169665342	1682
ENSSSCG00000004985	169676156	169701481	25325
ENSSSCG00000004844	143867839	143917878	50039
ENSSSCG00000004986	169709558	169722735	13177
ENSSSCG00000004845	143913551	143961646	48095
ENSSSCG00000022828	169725649	169734003	8354
ENSSSCG00000032494	149845199	149855908	10709
ENSSSCG00000004873	149856489	149896536	40047
ENSSSCG00000004983	169777596	169870892	93296
ENSSSCG00000032214	152593653	152636650	42997
ENSSSCG00000032574	152689504	152833946	144442
ENSSSCG00000038398	152882762	152979845	97083
ENSSSCG00000028977	152997319	153393418	396099
ENSSSCG00000005782	145359731	145384212	24481
ENSSSCG00000040252	145812013	145817024	5011
ENSSSCG00000041473	150432000	150433327	1327
ENSSSCG00000042817	150514440	150517428	2988
ENSSSCG00000038208	143627166	143631239	4073
ENSSSCG00000041275	147787524	147833716	46192
ENSSSCG00000034069	147958851	147962865	4014
ENSSSCG00000047328	152988091	152991061	2970
ENSSSCG00000004989	169877197	169915798	38601
ENSSSCG00000050191	169334691	169335857	1166
ENSSSCG00000050768	164751935	164810411	58476
ENSSSCG00000049454	169955439	169960369	4930
ENSSSCG00000019587	164478280	164478351	71
ENSSSCG00000020140	164419021	164419152	131
ENSSSCG00000019093	164478789	164478887	98
ENSSSCG00000019809	164479480	164479550	70
ENSSSCG00000020093	164363157	164363292	135
ENSSSCG00000018926	164477549	164477618	69
ENSSSCG00000041493	165995558	165995711	153
ENSSSCG00000034963	165296306	165405456	109150
ENSSSCG00000004075	13340355	13442039	101684
ENSSSCG00000004076	13446492	13458287	11795
ENSSSCG00000004077	13467501	13505928	38427
ENSSSCG00000004101	16139496	16198969	59473
ENSSSCG00000004103	16198223	16249531	51308
ENSSSCG00000004410	75557958	75564364	6406
ENSSSCG00000004105	16249546	16267624	18078
ENSSSCG00000033739	75641468	75693354	51886
ENSSSCG00000004405	75694151	75847528	153377
ENSSSCG00000004071	12297676	12396688	99012
ENSSSCG00000046319	12506220	12602724	96504
ENSSSCG00000004074	12528672	12702443	173771
ENSSSCG00000026042	16113780	16119273	5493
ENSSSCG00000004096	16057207	16089387	32180
ENSSSCG00000041378	16096071	16100494	4423
ENSSSCG00000004406	75979385	75982159	2774
ENSSSCG00000004113	18345363	18513252	167889
ENSSSCG00000004404	76107602	76180193	72591
ENSSSCG00000004403	76179164	76232959	53795
ENSSSCG00000004402	76245825	76367780	121955
ENSSSCG00000004401	76391116	76417301	26185
ENSSSCG00000004399	76423355	76467575	44220
ENSSSCG00000037803	79789815	79795760	5945
ENSSSCG00000004388	74923868	75043060	119192
ENSSSCG00000004390	75056734	75088954	32220
ENSSSCG00000043354	18691000	18765323	74323
ENSSSCG00000004114	18870884	19029417	158533
ENSSSCG00000004391	75171061	75227022	55961
ENSSSCG00000032525	16022399	16026536	4137
ENSSSCG00000004415	75323639	75431569	107930
ENSSSCG00000033578	16043508	16047572	4064
ENSSSCG00000004119	19183218	19572853	389635
ENSSSCG00000004414	75441575	75458145	16570
ENSSSCG00000004120	19612916	19695245	82329
ENSSSCG00000004413	75463222	75508244	45022
ENSSSCG00000004121	19764591	19777618	13027
ENSSSCG00000004078	13611311	13620269	8958
ENSSSCG00000004408	75508350	75512153	3803
ENSSSCG00000004412	75511693	75522765	11072
ENSSSCG00000031536	13651399	13667284	15885
ENSSSCG00000004081	13715174	13932123	216949
ENSSSCG00000004411	75531036	75548772	17736
ENSSSCG00000033392	73843012	73968699	125687
ENSSSCG00000049158	14013849	14024472	10623
ENSSSCG00000004382	74000688	74078582	77894
ENSSSCG00000004082	14028859	14201706	172847
ENSSSCG00000004383	74139330	74181084	41754
ENSSSCG00000004384	74271042	74292681	21639
ENSSSCG00000004385	74306455	74349335	42880
ENSSSCG00000040199	74367617	74591853	224236
ENSSSCG00000004387	74628218	74760325	132107
ENSSSCG00000025777	14217036	14493363	276327
ENSSSCG00000004432	79863094	79901585	38491
ENSSSCG00000046251	14361305	14364980	3675
ENSSSCG00000004433	79955657	80136352	180695
ENSSSCG00000004434	81605700	81714250	108550
ENSSSCG00000037424	76589052	76793278	204226
ENSSSCG00000004392	76839734	76863722	23988
ENSSSCG00000004393	76896756	76909749	12993
ENSSSCG00000004394	76917185	76963831	46646
ENSSSCG00000004419	76998359	77138639	140280
ENSSSCG00000041409	77159461	77167447	7986
ENSSSCG00000025703	77197409	77400297	202888
ENSSSCG00000004420	77487577	77541198	53621
ENSSSCG00000004421	77585439	77810581	225142
ENSSSCG00000004422	78005847	78019709	13862
ENSSSCG00000004093	15756550	15779164	22614
ENSSSCG00000004094	15865220	15949956	84736
ENSSSCG00000004423	78018433	78048406	29973
ENSSSCG00000035574	16002128	16013893	11765
ENSSSCG00000036621	78058529	78063272	4743
ENSSSCG00000004425	78071458	78224365	152907
ENSSSCG00000024361	11566245	11653871	87626
ENSSSCG00000004065	11648508	11759348	110840
ENSSSCG00000050324	78312248	78313060	812
ENSSSCG00000004070	12040485	12122337	81852
ENSSSCG00000004370	72270799	72520396	249597
ENSSSCG00000005129	198356839	198360395	3556
ENSSSCG00000031644	16273665	16275360	1695
ENSSSCG00000026382	194505025	194656164	151139
ENSSSCG00000004106	16274970	16320604	45634
ENSSSCG00000038554	263747703	263759543	11840
ENSSSCG00000004104	16321355	16360798	39443
ENSSSCG00000004369	72311880	72335466	23586
ENSSSCG00000005116	194736877	194743043	6166
ENSSSCG00000005575	263772173	263822104	49931
ENSSSCG00000022804	194760939	194844356	83417
ENSSSCG00000030067	16360370	16381864	21494
ENSSSCG00000028867	16400983	16446854	45871
ENSSSCG00000034726	194966334	195259068	292734
ENSSSCG00000004371	72552922	72763546	210624
ENSSSCG00000004109	16465252	16498971	33719
ENSSSCG00000004110	16533285	16611884	78599
ENSSSCG00000005167	203059588	203333781	274193
ENSSSCG00000028974	16840533	17138392	297859
ENSSSCG00000041504	72724452	72729750	5298
ENSSSCG00000033175	17306373	17511672	205299
ENSSSCG00000004373	72762855	72815540	52685
ENSSSCG00000043818	17701886	17705277	3391
ENSSSCG00000048240	18231494	18290021	58527
ENSSSCG00000004068	11445956	11501979	56023
ENSSSCG00000004374	72815613	72844843	29230
ENSSSCG00000037985	73162364	73180017	17653
ENSSSCG00000005131	200406764	200414334	7570
ENSSSCG00000034120	200761004	200766056	5052
ENSSSCG00000031159	73184753	73241022	56269
ENSSSCG00000005134	200792469	200798854	6385
ENSSSCG00000043123	12397660	12404024	6364
ENSSSCG00000036168	73235100	73510535	275435
ENSSSCG00000005130	198964132	199135811	171679
ENSSSCG00000043730	73344264	73349280	5016
ENSSSCG00000004379	73549307	73702020	152713
ENSSSCG00000042082	17142455	17145258	2803
ENSSSCG00000005586	264900591	264920890	20299
ENSSSCG00000043946	79158252	79161471	3219
ENSSSCG00000026287	262950329	262958275	7946
ENSSSCG00000047473	79369552	79375176	5624
ENSSSCG00000004389	75118461	75118781	320
ENSSSCG00000046183	262976285	262977227	942
ENSSSCG00000042456	81324654	81331085	6431
ENSSSCG00000005587	265078435	265176903	98468
ENSSSCG00000004396	76675741	76676106	365
ENSSSCG00000044325	77200250	77201814	1564
ENSSSCG00000046528	72699571	72700356	785
ENSSSCG00000037071	73130865	73131269	404
ENSSSCG00000005590	265172237	265235387	63150
ENSSSCG00000042384	71972220	71976763	4543
ENSSSCG00000044869	195850392	195855157	4765
ENSSSCG00000045922	72012686	72015937	3251
ENSSSCG00000049906	72847739	72851613	3874
ENSSSCG00000005591	265259617	265275248	15631
ENSSSCG00000028558	194352001	194380907	28906
ENSSSCG00000049152	74769481	74790096	20615
ENSSSCG00000005112	194439820	194475872	36052
ENSSSCG00000032084	153688900	153932906	244006
ENSSSCG00000005121	195879911	195887765	7854
ENSSSCG00000050853	77405603	77431375	25772
ENSSSCG00000051118	77416089	77426138	10049
ENSSSCG00000041974	19057699	19061317	3618
ENSSSCG00000048523	19734992	19737496	2504
ENSSSCG00000005588	265284493	265311417	26924
ENSSSCG00000005122	195937432	196051980	114548
ENSSSCG00000047964	10726365	10756957	30592
ENSSSCG00000005589	265322039	265370026	47987
ENSSSCG00000044366	80244522	80686293	441771
ENSSSCG00000034393	72066174	72157020	90846
ENSSSCG00000005593	265577704	265604502	26798
ENSSSCG00000050067	77400525	77426142	25617
ENSSSCG00000042842	79555895	79787544	231649
ENSSSCG00000005594	265633564	265637267	3703
ENSSSCG00000005124	196086072	196173880	87808
ENSSSCG00000034227	265636637	265645593	8956
ENSSSCG00000005125	196129905	196142701	12796
ENSSSCG00000005596	265642260	265654018	11758
ENSSSCG00000045059	196148205	196150028	1823
ENSSSCG00000005126	196176456	196219834	43378
ENSSSCG00000005597	265652128	265705895	53767
ENSSSCG00000034519	158099975	158113501	13526
ENSSSCG00000005576	263823857	263846856	22999
ENSSSCG00000039151	158120868	158143128	22260
ENSSSCG00000032575	263831228	263846907	15679
ENSSSCG00000022337	158015718	158030763	15045
ENSSSCG00000020743	263857513	264030574	173061
ENSSSCG00000005173	203720264	203771138	50874
ENSSSCG00000004894	158167646	158195796	28150
ENSSSCG00000005582	264045669	264195883	150214
ENSSSCG00000035941	154919550	154935561	16011
ENSSSCG00000040408	203788341	203923516	135175
ENSSSCG00000025744	158288544	158329881	41337
ENSSSCG00000040366	203936657	204942412	1005755
ENSSSCG00000004896	158642818	158862106	219288
ENSSSCG00000005164	201886332	201910664	24332
ENSSSCG00000028406	201942463	202258794	316331
ENSSSCG00000004897	158964819	159022271	57452
ENSSSCG00000004898	159128038	159187481	59443
ENSSSCG00000004921	162936581	163061612	125031
ENSSSCG00000050047	202161152	202167364	6212
ENSSSCG00000005166	202318929	202607058	288129
ENSSSCG00000049786	202756800	202759025	2225
ENSSSCG00000005135	200882956	200934445	51489
ENSSSCG00000004923	163081180	163089488	8308
ENSSSCG00000005584	264276987	264301713	24726
ENSSSCG00000038071	163089444	163103523	14079
ENSSSCG00000005136	201221665	201227047	5382
ENSSSCG00000035506	163133053	163153303	20250
ENSSSCG00000047263	201254261	201257287	3026
ENSSSCG00000004926	163156925	163170228	13303
ENSSSCG00000043817	201292659	201506032	213373
ENSSSCG00000004927	163173891	163222031	48140
ENSSSCG00000043301	201347953	201392587	44634
ENSSSCG00000038797	201488573	201489281	708
ENSSSCG00000005585	264300994	264823489	522495
ENSSSCG00000004928	163237100	163256533	19433
ENSSSCG00000031075	201496804	201501095	4291
ENSSSCG00000051765	201573635	201581397	7762
ENSSSCG00000031149	201677540	201695829	18289
ENSSSCG00000051680	201713376	201720068	6692
ENSSSCG00000050619	201736694	201750298	13604
ENSSSCG00000004929	163292784	163320021	27237
ENSSSCG00000005163	201850935	201851495	560
ENSSSCG00000021504	201831741	201832298	557
ENSSSCG00000005128	197309229	197309864	635
ENSSSCG00000005174	203772759	203774577	1818
ENSSSCG00000004931	163396234	163436063	39829
ENSSSCG00000031529	201246072	201246611	539
ENSSSCG00000004934	163446899	163517413	70514
ENSSSCG00000005498	256544928	256780760	235832
ENSSSCG00000033560	158063579	158069375	5796
ENSSSCG00000005150	201585965	201591830	5865
ENSSSCG00000033910	201623473	201624003	530
ENSSSCG00000005502	256825486	257740977	915491
ENSSSCG00000004935	163525965	163588798	62833
ENSSSCG00000005152	201654500	201655595	1095
ENSSSCG00000005501	257054228	257066909	12681
ENSSSCG00000045802	200264815	200266127	1312
ENSSSCG00000004936	163567777	163603184	35407
ENSSSCG00000045977	201015099	201015996	897
ENSSSCG00000005503	258044610	258058970	14360
ENSSSCG00000044378	194334713	194336201	1488
ENSSSCG00000005504	259350367	259544576	194209
ENSSSCG00000050756	258752552	258757560	5008
ENSSSCG00000035890	255801060	255801519	459
ENSSSCG00000040472	255863994	255864228	234
ENSSSCG00000051482	201540676	201544907	4231
ENSSSCG00000042822	201559381	201562193	2812
ENSSSCG00000045852	202649938	202695910	45972
ENSSSCG00000050165	200543518	200586966	43448
ENSSSCG00000004886	156295434	156435822	140388
ENSSSCG00000025904	194681426	194681550	124
ENSSSCG00000004937	163604594	163658318	53724
ENSSSCG00000020562	203758786	203758916	130
ENSSSCG00000019549	202227236	202227336	100
ENSSSCG00000032634	196082270	196082366	96
ENSSSCG00000018175	201198732	201198809	77
ENSSSCG00000004938	163660244	163790334	130090
ENSSSCG00000004899	159207616	159317675	110059
ENSSSCG00000004901	159317734	159417327	99593
ENSSSCG00000004902	159530623	159601981	71358
ENSSSCG00000004903	159817159	159917145	99986
ENSSSCG00000036234	160629223	160749506	120283
ENSSSCG00000004885	155669420	155758548	89128
ENSSSCG00000026454	161182887	161188164	5277
ENSSSCG00000004907	161321273	161556537	235264
ENSSSCG00000004908	161607143	161631651	24508
ENSSSCG00000034415	99034992	99043165	8173
ENSSSCG00000004509	99081938	99110874	28936
ENSSSCG00000004909	161634735	161675730	40995
ENSSSCG00000004910	161678955	161683060	4105
ENSSSCG00000037300	161708812	161721782	12970
ENSSSCG00000004508	98638339	99024642	386303
ENSSSCG00000004912	161754505	161769526	15021
ENSSSCG00000004911	161790715	161864682	73967
ENSSSCG00000034704	161877574	161984368	106794
ENSSSCG00000004517	99934497	99940130	5633
ENSSSCG00000004917	162076955	162144880	67925
ENSSSCG00000004518	99976485	99993462	16977
ENSSSCG00000028076	97610694	98015089	404395
ENSSSCG00000004506	98133342	98456433	323091
ENSSSCG00000004489	92421230	92425044	3814
ENSSSCG00000004487	92447164	92483236	36072
ENSSSCG00000004918	162175573	162305305	129732
ENSSSCG00000021383	92483327	92504307	20980
ENSSSCG00000004502	95950746	96066928	116182
ENSSSCG00000035007	99044071	99048410	4339
ENSSSCG00000004919	162364057	162513718	149661
ENSSSCG00000004503	96080824	96276992	196168
ENSSSCG00000032053	96297034	96375868	78834
ENSSSCG00000034730	96441676	96545780	104104
ENSSSCG00000022643	96566848	96676519	109671
ENSSSCG00000005771	96671793	96729441	57648
ENSSSCG00000039669	96764637	96765128	491
ENSSSCG00000005767	96803098	96844492	41394
ENSSSCG00000004500	95809188	95895020	85832
ENSSSCG00000031966	93111777	93112715	938
ENSSSCG00000040836	101846100	103083096	1236996
ENSSSCG00000004520	100107935	100288936	181001
ENSSSCG00000004507	98514267	98542382	28115
ENSSSCG00000004505	97415716	97511357	95641
ENSSSCG00000004485	92054821	92286730	231909
ENSSSCG00000004486	92286841	92342776	55935
ENSSSCG00000008882	93868758	93869355	597
ENSSSCG00000004490	94295851	94663017	367166
ENSSSCG00000045948	94397372	94402481	5109
ENSSSCG00000004491	95255632	95320542	64910
ENSSSCG00000005508	260825485	260840190	14705
ENSSSCG00000004492	95355016	95381489	26473
ENSSSCG00000005507	260846563	260868766	22203
ENSSSCG00000004493	95475438	95492709	17271
ENSSSCG00000021072	95498720	95616755	118035
ENSSSCG00000004499	95733090	95750841	17751
ENSSSCG00000039972	260868877	260897729	28852
ENSSSCG00000005510	260899452	260920110	20658
ENSSSCG00000004498	95756267	95780758	24491
ENSSSCG00000005511	260949111	260973709	24598
ENSSSCG00000004521	100343462	100368354	24892
ENSSSCG00000005512	260995668	261133483	137815
ENSSSCG00000004522	100419760	100476733	56973
ENSSSCG00000032297	261133629	261226697	93068
ENSSSCG00000024479	100514760	100535993	21233
ENSSSCG00000004524	100589850	100628029	38179
ENSSSCG00000034427	100676660	100699403	22743
ENSSSCG00000004510	99284140	99311321	27181
ENSSSCG00000004511	99418449	99810139	391690
ENSSSCG00000045942	99742869	99747458	4589
ENSSSCG00000041158	99841672	99845809	4137
ENSSSCG00000004516	99900801	99917323	16522
ENSSSCG00000033160	92951121	92952053	932
ENSSSCG00000005790	93149390	93150316	926
ENSSSCG00000047971	100964397	100967909	3512
ENSSSCG00000049462	99730475	99734961	4486
ENSSSCG00000048066	100711234	100715569	4335
ENSSSCG00000020491	99311788	99311870	82
ENSSSCG00000020045	99311561	99311706	145
ENSSSCG00000028329	99046422	99046487	65
ENSSSCG00000024372	99047294	99047358	64
ENSSSCG00000019329	100560349	100560530	181
ENSSSCG00000004893	158233070	158270679	37609
ENSSSCG00000004884	153988050	154031120	43070
ENSSSCG00000004888	157820657	157836904	16247
ENSSSCG00000004889	157841510	157866913	25403
ENSSSCG00000004890	157872212	157886602	14390
ENSSSCG00000034000	157922652	157937650	14998
ENSSSCG00000004891	157953877	157998842	44965
ENSSSCG00000035667	163113324	163116887	3563
ENSSSCG00000048538	160341060	160348851	7791
ENSSSCG00000051798	160772013	160774124	2111
ENSSSCG00000037349	154596530	154600507	3977
ENSSSCG00000050338	154601395	154605098	3703
ENSSSCG00000037390	154048684	154048965	281
ENSSSCG00000043518	154913294	154918444	5150
ENSSSCG00000039179	159023135	159096960	73825
ENSSSCG00000041383	159049216	159052445	3229
ENSSSCG00000049892	159734842	159738138	3296
ENSSSCG00000050691	160401642	160408832	7190
ENSSSCG00000018672	163334929	163335045	116
ENSSSCG00000019094	163326574	163326689	115
ENSSSCG00000019572	162329767	162329860	93
ENSSSCG00000005514	261229535	261256791	27256
ENSSSCG00000034749	261228701	261231274	2573
ENSSSCG00000005578	263726194	263727156	962
ENSSSCG00000039297	263733927	263734880	953
ENSSSCG00000041164	262670111	262671058	947
ENSSSCG00000035100	262703033	262703977	944
ENSSSCG00000032825	262774734	262775675	941
ENSSSCG00000027732	262829536	262830498	962
ENSSSCG00000046333	262918363	262923494	5131
ENSSSCG00000051496	263046286	263047224	938
ENSSSCG00000035439	263254951	263255886	935
ENSSSCG00000044533	263681147	263682085	938
ENSSSCG00000048491	263158696	263159770	1074
ENSSSCG00000047129	264035033	264037143	2110
ENSSSCG00000048111	264241800	264275697	33897
ENSSSCG00000004616	118913460	118917334	3874
ENSSSCG00000018665	263796933	263797043	110
ENSSSCG00000004634	120880456	120946031	65575
ENSSSCG00000019719	265499108	265499196	88
