Gene	start	end	length
ENSDARG00000015921	1825839	1839352	13513
ENSDARG00000045681	13605600	13614936	9336
ENSDARG00000045594	14826299	14863510	37211
ENSDARG00000045911	331351	353924	22573
ENSDARG00000045540	20082475	20101972	19497
ENSDARG00000045595	14895506	14899113	3607
ENSDARG00000102659	52347226	52354980	7754
ENSDARG00000105162	4224406	4228682	4276
ENSDARG00000088524	25678113	25691507	13394
ENSDARG00000063481	5304208	5317006	12798
ENSDARG00000045847	5317483	5325336	7853
ENSDARG00000104468	52379250	52379723	473
ENSDARG00000105137	52356485	52366809	10324
ENSDARG00000100387	52504406	52504961	555
ENSDARG00000105306	52614984	52621665	6681
ENSDARG00000102130	52671243	52672302	1059
ENSDARG00000088245	32772213	32783867	11654
ENSDARG00000089814	32649955	32897136	247181
ENSDARG00000096499	32716854	32717980	1126
ENSDARG00000070230	9028819	9048975	20156
ENSDARG00000098514	42403742	42408339	4597
ENSDARG00000006215	14899720	14910386	10666
ENSDARG00000016691	4234994	4261673	26679
ENSDARG00000041665	12292274	12307834	15560
ENSDARG00000098515	42412212	42429712	17500
ENSDARG00000045598	14906608	14915268	8660
ENSDARG00000087319	12308976	12312976	4000
ENSDARG00000098270	42556555	42564325	7770
ENSDARG00000096458	33012407	33016826	4419
ENSDARG00000096437	33017081	33018220	1139
ENSDARG00000016010	22730795	22749553	18758
ENSDARG00000045910	357810	386168	28358
ENSDARG00000043796	76705830	76718322	12492
ENSDARG00000091970	76722754	76728540	5786
ENSDARG00000089304	33057844	33073382	15538
ENSDARG00000045683	13615731	13624294	8563
ENSDARG00000007018	76735113	76742479	7366
ENSDARG00000045846	5327632	5333971	6339
ENSDARG00000024874	6833583	6994283	160700
ENSDARG00000095695	76745015	76751266	6251
ENSDARG00000086650	9824063	9836342	12279
ENSDARG00000092775	52739681	52743050	3369
ENSDARG00000056152	20101992	20108833	6841
ENSDARG00000053563	76755294	76774721	19427
ENSDARG00000014024	76752707	76762432	9725
ENSDARG00000098879	52766525	52783184	16659
ENSDARG00000045580	16349042	16354292	5250
ENSDARG00000099520	1844336	1845156	820
ENSDARG00000058244	12317461	12323228	5767
ENSDARG00000095997	33095657	33111132	15475
ENSDARG00000093546	76775837	76785895	10058
ENSDARG00000095596	33139862	33141495	1633
ENSDARG00000056145	20110921	20118468	7547
ENSDARG00000003822	11458078	11462702	4624
ENSDARG00000078745	13625892	13643616	17724
ENSDARG00000045909	386435	390442	4007
ENSDARG00000105458	13625982	13626831	849
ENSDARG00000097527	76787274	76808437	21163
ENSDARG00000094484	33179354	33189070	9716
ENSDARG00000094308	33191390	33204793	13403
ENSDARG00000096226	43060711	43071336	10625
ENSDARG00000096186	33225161	33230042	4881
ENSDARG00000096189	43048527	43070566	22039
ENSDARG00000088378	33310760	33331681	20921
ENSDARG00000012066	16368762	16412084	43322
ENSDARG00000062983	9851810	9867843	16033
ENSDARG00000099099	76838989	76891899	52910
ENSDARG00000105694	76863480	76863920	440
ENSDARG00000105800	76850983	76856114	5131
ENSDARG00000105672	76839169	76866224	27055
ENSDARG00000105743	76847462	76849303	1841
ENSDARG00000098776	52814643	52830781	16138
ENSDARG00000057942	9843923	9852318	8395
ENSDARG00000017366	14917502	14926637	9135
ENSDARG00000086449	33334774	33342454	7680
ENSDARG00000025073	391297	398451	7154
ENSDARG00000003570	9836465	9843836	7371
ENSDARG00000096011	33364466	33371634	7168
ENSDARG00000106998	76902513	76914227	11714
ENSDARG00000077926	9051588	9054947	3359
ENSDARG00000105675	76918058	76919141	1083
ENSDARG00000033413	25691642	25704064	12422
ENSDARG00000109558	52956204	52957130	926
ENSDARG00000101292	52959625	52967037	7412
ENSDARG00000089296	76926059	76964360	38301
ENSDARG00000095521	33373100	33378493	5393
ENSDARG00000104625	12358822	12361683	2861
ENSDARG00000101236	20124863	20135919	11056
ENSDARG00000061544	1878573	1914228	35655
ENSDARG00000074873	12348568	12352645	4077
ENSDARG00000103365	12333168	12360465	27297
ENSDARG00000104584	33399196	33405483	6287
ENSDARG00000090366	33420247	33428994	8747
ENSDARG00000095461	12333236	12336573	3337
ENSDARG00000094017	43074375	43091498	17123
ENSDARG00000076690	17836098	17838179	2081
ENSDARG00000076252	33461796	33471361	9565
ENSDARG00000101363	4267451	4358940	91489
ENSDARG00000093165	43156473	43185261	28788
ENSDARG00000095042	4321168	4374704	53536
ENSDARG00000073881	9055488	9094690	39202
ENSDARG00000096162	43192407	43193184	777
ENSDARG00000100412	53034573	53072320	37747
ENSDARG00000020812	1921011	1930024	9013
ENSDARG00000088836	43225728	43260960	35232
ENSDARG00000037960	20141191	20156085	14894
ENSDARG00000094215	76988215	77004811	16596
ENSDARG00000095013	76973771	77014220	40449
ENSDARG00000090947	43245188	43260558	15370
ENSDARG00000096188	33524237	33525219	982
ENSDARG00000096005	33525559	33526156	597
ENSDARG00000094007	1937522	1943586	6064
ENSDARG00000091013	33537372	33560939	23567
ENSDARG00000103872	33537813	33543597	5784
ENSDARG00000102461	7222080	7222367	287
ENSDARG00000027249	16536173	16545085	8912
ENSDARG00000101296	7229236	7231480	2244
ENSDARG00000006396	13696537	13728375	31838
ENSDARG00000005451	11464255	11477630	13375
ENSDARG00000095951	400376	401850	1474
ENSDARG00000100590	53095146	53109116	13970
ENSDARG00000093924	402626	499946	97320
ENSDARG00000099076	77122707	77125693	2986
ENSDARG00000092241	77160027	77177950	17923
ENSDARG00000034375	9103182	9173552	70370
ENSDARG00000079698	11479705	11483190	3485
ENSDARG00000102027	77141970	77150123	8153
ENSDARG00000099945	77151419	77159653	8234
ENSDARG00000105689	77053467	77061667	8200
ENSDARG00000101763	77136884	77140030	3146
ENSDARG00000105831	77047067	77053088	6021
ENSDARG00000095717	77038392	77202737	164345
ENSDARG00000096001	77060861	77065808	4947
ENSDARG00000100963	4376498	4387008	10510
ENSDARG00000021239	17843717	17874048	30331
ENSDARG00000075090	77118052	77120928	2876
ENSDARG00000098610	53115165	53158623	43458
ENSDARG00000104678	77092909	77108450	15541
ENSDARG00000102480	77076645	77085911	9266
ENSDARG00000105712	77126495	77140170	13675
ENSDARG00000095696	77021784	77042603	20819
ENSDARG00000045481	20198294	20222182	23888
ENSDARG00000004794	20177526	20199224	21698
ENSDARG00000045482	20224099	20235904	11805
ENSDARG00000076476	77132096	77135076	2980
ENSDARG00000099870	7391110	7409313	18203
ENSDARG00000021590	22755465	23083187	327722
ENSDARG00000095486	77113391	77116266	2875
ENSDARG00000094558	43273634	43280244	6610
ENSDARG00000045843	5333988	5340530	6542
ENSDARG00000096000	43295390	43388943	93553
ENSDARG00000096072	43376293	43381880	5587
ENSDARG00000022424	14932537	14954327	21790
ENSDARG00000096091	43361785	43365259	3474
ENSDARG00000031737	612363	626550	14187
ENSDARG00000093685	1950849	1951496	647
ENSDARG00000019861	20178694	20181964	3270
ENSDARG00000087293	33574463	33679928	105465
ENSDARG00000017163	20176143	20177868	1725
ENSDARG00000059043	4397503	4431975	34472
ENSDARG00000095993	43392655	43402114	9459
ENSDARG00000103310	53159800	53168673	8873
ENSDARG00000039185	9177997	9183602	5605
ENSDARG00000102635	53183373	53194829	11456
ENSDARG00000020101	14926948	14932359	5411
ENSDARG00000090461	33720803	33763368	42565
ENSDARG00000099652	646154	675427	29273
ENSDARG00000059196	1958240	1974894	16654
ENSDARG00000095989	33811110	33812019	909
ENSDARG00000095440	43408004	43416502	8498
ENSDARG00000096163	43464313	43465197	884
ENSDARG00000020749	16615026	16628802	13776
ENSDARG00000098177	33862438	33889684	27246
ENSDARG00000102595	53246788	53318668	71880
ENSDARG00000109604	33818711	33914359	95648
ENSDARG00000113192	43632188	43640507	8319
ENSDARG00000114935	43522680	43724976	202296
ENSDARG00000009262	1988460	2036620	48160
ENSDARG00000087714	43695179	43725172	29993
ENSDARG00000075281	4484651	4507761	23110
ENSDARG00000089875	43678985	43689530	10545
ENSDARG00000113896	43648421	43676582	28161
ENSDARG00000068161	43606820	43616413	9593
ENSDARG00000101948	34119824	34130890	11066
ENSDARG00000099330	34343524	34345055	1531
ENSDARG00000105246	34359175	34362421	3246
ENSDARG00000094023	23122744	23123510	766
ENSDARG00000045493	23117557	23122395	4838
ENSDARG00000099751	53327149	53354589	27440
ENSDARG00000099432	34369818	34408625	38807
ENSDARG00000070314	7415337	7503443	88106
ENSDARG00000045524	25704579	25751361	46782
ENSDARG00000103215	12365775	12369666	3891
ENSDARG00000102941	53976731	53978423	1692
ENSDARG00000043781	77207693	77218637	10944
ENSDARG00000097086	77218965	77228234	9269
ENSDARG00000097215	77229328	77237483	8155
ENSDARG00000058127	9184481	9196291	11810
ENSDARG00000094305	43730608	43731342	734
ENSDARG00000087518	43730606	43863102	132496
ENSDARG00000045685	13733838	13756716	22878
ENSDARG00000045708	9880647	9891874	11227
ENSDARG00000103105	54268618	54271400	2782
ENSDARG00000111465	43904209	43919994	15785
ENSDARG00000070126	9901116	9909371	8255
ENSDARG00000045765	11483335	11524888	41553
ENSDARG00000023766	4509996	4524284	14288
ENSDARG00000105063	34443650	34480611	36961
ENSDARG00000102716	34553067	34589087	36020
ENSDARG00000090355	34599803	34604408	4605
ENSDARG00000099899	34468977	34480599	11622
ENSDARG00000032653	16631483	16644708	13225
ENSDARG00000019396	12381735	12388535	6800
ENSDARG00000103992	34753619	34776147	22528
ENSDARG00000102904	34417403	34452581	35178
ENSDARG00000045842	5341592	5368158	26566
ENSDARG00000095332	5362909	5371639	8730
ENSDARG00000102104	681501	683465	1964
ENSDARG00000101047	676710	685433	8723
ENSDARG00000018618	2041067	2059302	18235
ENSDARG00000003512	17886838	18202291	315453
ENSDARG00000033443	23125689	23136195	10506
ENSDARG00000003789	16649542	16706978	57436
ENSDARG00000096064	44454270	44454986	716
ENSDARG00000100780	77349261	77380592	31331
ENSDARG00000113690	54316804	54338253	21449
ENSDARG00000062968	9911043	10002050	91007
ENSDARG00000096067	44499731	44500201	470
ENSDARG00000078167	44470531	44518893	48362
ENSDARG00000104108	77389668	77432218	42550
ENSDARG00000099825	54355719	54381329	25610
ENSDARG00000096109	44514525	44522027	7502
ENSDARG00000045788	9207722	9214288	6566
ENSDARG00000115094	77471853	77506403	34550
ENSDARG00000025046	77709678	77712195	2517
ENSDARG00000032765	11573568	11603149	29581
ENSDARG00000068857	77681389	77687162	5773
ENSDARG00000045789	9279515	9335035	55520
ENSDARG00000013476	12401146	12477278	76132
ENSDARG00000102215	54480250	54504217	23967
ENSDARG00000099833	686157	700697	14540
ENSDARG00000103265	54434814	54489069	54255
ENSDARG00000098145	54461588	54470095	8507
ENSDARG00000068874	77620775	77624155	3380
ENSDARG00000096726	77675291	77680276	4985
ENSDARG00000068869	77651736	77657505	5769
ENSDARG00000068865	77657660	77669219	11559
ENSDARG00000045525	25754725	25812329	57604
ENSDARG00000045483	20255160	20265726	10566
ENSDARG00000092759	77626530	77636185	9655
ENSDARG00000097345	77580532	77676179	95647
ENSDARG00000096762	77590387	77602685	12298
ENSDARG00000092471	44568015	44573692	5677
ENSDARG00000097091	44577872	44586079	8207
ENSDARG00000103870	701612	734347	32735
ENSDARG00000088640	44599987	44611273	11286
ENSDARG00000117156	44666809	44673017	6208
ENSDARG00000039356	4526248	4535189	8941
ENSDARG00000090192	44713555	44759118	45563
ENSDARG00000109466	44778716	44801146	22430
ENSDARG00000113564	44804898	44892744	87846
ENSDARG00000096046	44858444	44861662	3218
ENSDARG00000023026	16710001	16725144	15143
ENSDARG00000116587	44879202	44892999	13797
ENSDARG00000045822	7508316	7544687	36371
ENSDARG00000086296	44852270	44872722	20452
ENSDARG00000045687	13810811	13861445	50634
ENSDARG00000109358	23223881	23408029	184148
ENSDARG00000045900	737539	760560	23021
ENSDARG00000042469	25829841	25836684	6843
ENSDARG00000095275	35167118	35209531	42413
ENSDARG00000096118	736395	737520	1125
ENSDARG00000113431	35227135	35240326	13191
ENSDARG00000100414	54618332	54621827	3495
ENSDARG00000026855	20271463	20292853	21390
ENSDARG00000104968	54583639	54657615	73976
ENSDARG00000015966	13905522	13921206	15684
ENSDARG00000101459	35130120	35293690	163570
ENSDARG00000014395	5378338	5387478	9140
ENSDARG00000115299	54568329	54604740	36411
ENSDARG00000045790	9339067	9350585	11518
ENSDARG00000059064	4540223	4592287	52064
ENSDARG00000045691	13923927	13931508	7581
ENSDARG00000045692	13901458	13963440	61982
ENSDARG00000089852	44997263	45028583	31320
ENSDARG00000004497	14957360	14968641	11281
ENSDARG00000045527	25838345	25859305	20960
ENSDARG00000045874	2059692	2062435	2743
ENSDARG00000045873	2092683	2099581	6898
ENSDARG00000057468	2060524	2196928	136404
ENSDARG00000022550	13892773	13902188	9415
ENSDARG00000008720	12612145	12679293	67148
ENSDARG00000111837	23440404	23643272	202868
ENSDARG00000100537	54720270	54721020	750
ENSDARG00000104052	54741215	54750824	9609
ENSDARG00000027316	16725960	16742893	16933
ENSDARG00000078520	77966055	77974820	8765
ENSDARG00000063563	4712410	4751983	39573
ENSDARG00000045484	20302832	20314796	11964
ENSDARG00000100654	77834796	77889480	54684
ENSDARG00000057929	10003523	10012303	8780
ENSDARG00000101992	77808579	77830202	21623
ENSDARG00000032405	77975221	77979432	4211
ENSDARG00000097583	77957611	77965510	7899
ENSDARG00000004055	18207655	18281160	73505
ENSDARG00000016968	764100	779796	15696
ENSDARG00000095159	16768961	16773254	4293
ENSDARG00000093371	16777715	16781842	4127
ENSDARG00000087206	78008298	78009682	1384
ENSDARG00000039302	77973876	77996958	23082
ENSDARG00000011769	23740655	23759213	18558
ENSDARG00000022795	16787040	16792196	5156
ENSDARG00000004904	16783972	16824556	40584
ENSDARG00000087597	45085360	45100253	14893
ENSDARG00000099493	35552485	35565905	13420
ENSDARG00000039350	4752622	4756349	3727
ENSDARG00000095132	45033922	45098326	64404
ENSDARG00000101469	54864061	55069079	205018
ENSDARG00000096147	11610718	11637382	26664
ENSDARG00000116197	35576329	35615175	38846
ENSDARG00000093461	54955852	54969773	13921
ENSDARG00000103420	54973580	54989376	15796
ENSDARG00000058159	9360532	9389359	28827
ENSDARG00000095186	5450499	5451742	1243
ENSDARG00000097353	5456500	5458959	2459
ENSDARG00000094254	5420906	5421470	564
ENSDARG00000104262	55035164	55040507	5343
ENSDARG00000093058	16784553	16786244	1691
ENSDARG00000097507	5421785	5424162	2377
ENSDARG00000103281	54862025	54887842	25817
ENSDARG00000045837	5392094	5494298	102204
ENSDARG00000104380	77761901	78048911	287010
ENSDARG00000056859	16794418	16797485	3067
ENSDARG00000099932	55005641	55009229	3588
ENSDARG00000104270	54948890	54951152	2262
ENSDARG00000098426	54899568	54921714	22146
ENSDARG00000099384	77735212	77745020	9808
ENSDARG00000096986	5454006	5455596	1590
ENSDARG00000100669	77740228	77915287	175059
ENSDARG00000078014	77933084	77955302	22218
ENSDARG00000098167	35948813	36026650	77837
ENSDARG00000057921	10017049	10049186	32137
ENSDARG00000100961	35851089	35989274	138185
ENSDARG00000101463	36016763	36017577	814
ENSDARG00000103348	35876704	35888987	12283
ENSDARG00000098758	35982274	35989745	7471
ENSDARG00000098677	35960020	36033454	73434
ENSDARG00000008398	20318127	20474972	156845
ENSDARG00000098409	77880221	77889322	9101
ENSDARG00000104038	35993527	36004488	10961
ENSDARG00000114908	35900918	35913180	12262
ENSDARG00000090778	77919987	77932570	12583
ENSDARG00000002952	14971239	14979937	8698
ENSDARG00000022187	23771034	23873924	102890
ENSDARG00000073963	4758001	4780667	22666
ENSDARG00000022165	12718965	12725513	6548
ENSDARG00000032618	12715695	12718367	2672
ENSDARG00000079143	2210317	2219705	9388
ENSDARG00000015278	18281954	18315912	33958
ENSDARG00000102878	783644	797858	14214
ENSDARG00000045528	25859445	25911609	52164
ENSDARG00000115564	36083288	36091378	8090
ENSDARG00000069607	4782721	4795205	12484
ENSDARG00000098213	55165697	55167082	1385
ENSDARG00000099277	55172715	55178568	5853
ENSDARG00000101623	36132112	36144500	12388
ENSDARG00000100386	55188228	55227627	39399
ENSDARG00000111046	36150332	36156389	6057
ENSDARG00000101483	55421931	55422635	704
ENSDARG00000102256	55284199	55303279	19080
ENSDARG00000101165	55273988	55275497	1509
ENSDARG00000101997	55187370	55437051	249681
ENSDARG00000057714	2228754	2250264	21510
ENSDARG00000098193	55313082	55322519	9437
ENSDARG00000099152	36204590	36215907	11317
ENSDARG00000002131	23886726	24031924	145198
ENSDARG00000025576	11690923	11730768	39845
ENSDARG00000045601	14981854	14990926	9072
ENSDARG00000063149	9394426	9466248	71822
ENSDARG00000100099	36473781	36484943	11162
ENSDARG00000028192	18383253	18416566	33313
ENSDARG00000090769	45107809	45115963	8154
ENSDARG00000098452	36616118	36660662	44544
ENSDARG00000005897	12755136	12766418	11282
ENSDARG00000045835	5531583	5533803	2220
ENSDARG00000045224	2252123	2258796	6673
ENSDARG00000059311	798696	815871	17175
ENSDARG00000007764	14991789	15003893	12104
ENSDARG00000045834	5537101	5539842	2741
ENSDARG00000116216	45128966	45146463	17497
ENSDARG00000045836	5506946	5522437	15491
ENSDARG00000104681	36789137	36793658	4521
ENSDARG00000092677	4832144	4834617	2473
ENSDARG00000103473	36764181	37172305	408124
ENSDARG00000006409	5523690	5530441	6751
ENSDARG00000020871	4834085	4926061	91976
ENSDARG00000093254	55450711	55459037	8326
ENSDARG00000096074	45147601	45149985	2384
ENSDARG00000096217	45148652	45156379	7727
ENSDARG00000105057	55501017	55502383	1366
ENSDARG00000096107	45181362	45189530	8168
ENSDARG00000059053	4803698	4832149	28451
ENSDARG00000011246	2258935	2265271	6336
ENSDARG00000103031	55507920	55592720	84800
